product_id,product_name,product_description,product_version,category_id,warranty_period
9,Voltsillam,Sharable didactic capacity,510,1,+10-00
56,Opela,Versatile upward-trending application,154,1,+10-00
77,Rank,Multi-lateral scalable open architecture,86,1,+10-00
124,Transcof,Balanced background artificial intelligence,541,1,+10-00
134,Cardguard,Organized didactic help-desk,18,1,+10-00
135,Mat Lam Tam,Public-key disintermediate product,93,1,+10-00
142,Lotstring,Organic foreground product,735,1,+10-00
154,Cookley,Horizontal zero defect archive,467,1,+10-00
170,Flowdesk,Diverse neutral concept,823,1,+10-00
171,Alphazap,Integrated reciprocal approach,62,1,+10-00
187,Konklab,Integrated human-resource emulation,248,1,+10-00
198,Andalax,Pre-emptive multimedia hub,562,1,+10-00
201,Fixflex,Grass-roots background hub,89,1,+10-00
207,Prodder,Secured scalable archive,17,1,+10-00
231,Quo Lux,Managed methodical definition,31,1,+10-00
234,Bitwolf,Optional multi-state definition,46,1,+10-00
235,Sonsing,Open-source local service-desk,14,1,+10-00
269,Redhold,Inverse heuristic structure,98,1,+10-00
339,Konklab,Realigned 5th generation complexity,89,1,+10-00
343,Subin,Multi-lateral client-driven hardware,92,1,+10-00
346,Zaam-Dox,Balanced static product,889,1,+10-00
370,Y-find,Adaptive 4th generation interface,919,1,+10-00
380,Voyatouch,Quality-focused reciprocal task-force,94,1,+10-00
387,Flowdesk,Switchable heuristic conglomeration,15,1,+10-00
390,Redhold,Upgradable full-range process improvement,20,1,+10-00
429,Gembucket,Exclusive dedicated superstructure,76,1,+10-00
441,Zamit,Seamless didactic productivity,49,1,+10-00
448,Aerified,Operative object-oriented implementation,66,1,+10-00
483,Cardguard,Digitized cohesive hub,70,1,+10-00
493,Zontrax,Business-focused motivating adapter,74,1,+10-00
498,Cardify,Expanded coherent strategy,12,1,+10-00
505,Flowdesk,Programmable tangible solution,434,1,+10-00
529,Bigtax,Mandatory well-modulated benchmark,77,1,+10-00
531,Overhold,Configurable optimal system engine,39,1,+10-00
570,Duobam,Optimized logistical local area network,96,1,+10-00
571,Cardify,Reverse-engineered eco-centric knowledge user,84,1,+10-00
621,Regrant,Open-source dedicated orchestration,15,1,+10-00
662,Subin,Focused composite approach,285,1,+10-00
684,Voltsillam,Multi-tiered leading edge capacity,16,1,+10-00
685,Y-Solowarm,Assimilated next generation standardization,53,1,+10-00
695,Matsoft,Secured stable middleware,838,1,+10-00
704,Viva,Stand-alone context-sensitive middleware,673,1,+10-00
713,Zoolab,Team-oriented global middleware,711,1,+10-00
724,Flowdesk,Upgradable 24/7 application,97,1,+10-00
726,Y-find,Switchable regional functionalities,379,1,+10-00
734,Span,Multi-lateral client-server neural-net,36,1,+10-00
746,Voltsillam,Cross-platform hybrid application,94,1,+10-00
754,Voltsillam,Reduced global implementation,92,1,+10-00
827,Zaam-Dox,Cross-platform needs-based Graphic Interface,735,1,+10-00
832,Voyatouch,Managed transitional utilisation,889,1,+10-00
846,Stringtough,Enterprise-wide regional support,57,1,+10-00
892,Rank,Intuitive homogeneous matrix,631,1,+10-00
904,Holdlamis,Diverse content-based data-warehouse,549,1,+10-00
913,Daltfresh,Object-based responsive firmware,29,1,+10-00
925,Lotstring,Exclusive composite policy,59,1,+10-00
954,Quo Lux,Centralized discrete open architecture,262,1,+10-00
6,Namfix,Enhanced high-level circuit,553,2,+00-01
24,Tresom,Organic bottom-line array,82,2,+00-01
36,Span,Reduced methodical database,447,2,+00-01
75,Tin,Devolved analyzing approach,230,2,+00-01
78,It,Distributed multi-tasking middleware,44,2,+00-01
108,Ventosanzap,Stand-alone actuating solution,60,2,+00-01
126,Stringtough,Universal multi-tasking customer loyalty,573,2,+00-01
137,Stronghold,Face to face client-server conglomeration,38,2,+00-01
138,Gembucket,Secured encompassing open system,32,2,+00-01
202,Fix San,Assimilated stable firmware,56,2,+00-01
221,Gembucket,Future-proofed attitude-oriented software,211,2,+00-01
240,Stim,Monitored national utilisation,668,2,+00-01
244,Tres-Zap,Multi-lateral dedicated budgetary management,627,2,+00-01
258,Biodex,Digitized uniform methodology,203,2,+00-01
289,Ronstring,Expanded client-driven benchmark,25,2,+00-01
296,Sonsing,Vision-oriented maximized benchmark,17,2,+00-01
299,Hatity,Reactive multi-state parallelism,25,2,+00-01
312,Viva,Diverse global functionalities,55,2,+00-01
319,Tampflex,Proactive multimedia internet solution,240,2,+00-01
350,Kanlam,Cloned content-based groupware,91,2,+00-01
353,Veribet,Mandatory dedicated service-desk,845,2,+00-01
359,Andalax,Fundamental mission-critical encryption,184,2,+00-01
362,Fintone,Persevering 5th generation open architecture,76,2,+00-01
363,Veribet,Horizontal asymmetric flexibility,149,2,+00-01
371,Otcom,Re-engineered uniform application,15,2,+00-01
381,Keylex,User-friendly maximized definition,582,2,+00-01
446,Alpha,Centralized executive parallelism,87,2,+00-01
471,Domainer,Devolved composite instruction set,34,2,+00-01
476,Holdlamis,Realigned homogeneous frame,69,2,+00-01
497,Aerified,Multi-layered hybrid implementation,56,2,+00-01
510,Voltsillam,Customizable tangible website,53,2,+00-01
526,Domainer,Grass-roots uniform migration,43,2,+00-01
530,Stringtough,Reactive motivating forecast,205,2,+00-01
547,Aerified,Programmable homogeneous matrices,67,2,+00-01
551,Viva,Upgradable solution-oriented approach,75,2,+00-01
566,Zamit,Centralized multi-state conglomeration,54,2,+00-01
574,Namfix,Balanced clear-thinking function,61,2,+00-01
583,Vagram,Organic reciprocal complexity,474,2,+00-01
606,Stringtough,Phased secondary focus group,315,2,+00-01
620,Zaam-Dox,Business-focused content-based moratorium,452,2,+00-01
625,Gembucket,Multi-lateral intermediate instruction set,98,2,+00-01
657,Sonair,Up-sized hybrid Graphic Interface,80,2,+00-01
663,Viva,Synchronised 6th generation capacity,57,2,+00-01
723,Subin,Implemented encompassing Graphic Interface,16,2,+00-01
766,Ronstring,Mandatory non-volatile initiative,546,2,+00-01
794,Kanlam,Open-architected non-volatile secured line,46,2,+00-01
821,Fixflex,Universal bottom-line budgetary management,70,2,+00-01
831,Overhold,Progressive didactic encryption,62,2,+00-01
847,Konklab,Triple-buffered empowering implementation,770,2,+00-01
867,Alphazap,Optional scalable analyzer,66,2,+00-01
879,Redhold,Grass-roots disintermediate encoding,284,2,+00-01
880,Holdlamis,Integrated encompassing access,33,2,+00-01
910,Flowdesk,Universal homogeneous knowledge user,746,2,+00-01
927,Lotstring,Operative optimizing core,86,2,+00-01
933,Tampflex,Cross-platform 24 hour open architecture,734,2,+00-01
940,Andalax,Grass-roots contextually-based standardization,25,2,+00-01
961,Stringtough,Profound context-sensitive synergy,92,2,+00-01
27,Quo Lux,Adaptive background intranet,64,3,+02-00
45,Andalax,Customer-focused empowering Graphic Interface,44,3,+02-00
68,Vagram,Upgradable multi-state collaboration,35,3,+02-00
82,Fixflex,Future-proofed stable hierarchy,847,3,+02-00
88,Gembucket,Adaptive optimizing ability,67,3,+02-00
95,Bamity,Open-architected actuating strategy,726,3,+02-00
99,Zoolab,Multi-tiered heuristic frame,53,3,+02-00
177,Otcom,Secured background initiative,27,3,+02-00
179,Voyatouch,Advanced bandwidth-monitored circuit,144,3,+02-00
180,Konklux,Open-source tangible matrix,397,3,+02-00
186,Zoolab,Visionary systematic encoding,108,3,+02-00
